AccessLevel,licenseGroupNames,groupsNames,sharedMailboxes,distributionLists
BRIBIE ISLAND,,Bribie Island;,,All Staff;Bribie Staff;
CALOUNDRA,,Caloundra;,,All Staff;Caloundra Staff;
EASTERN HEIGHTS,,Eastern Heights;Redbank Plains & Eastern Heights;,,All Staff;
KALLANGUR,,Kallangur;,,All Staff;Kallangur Staff;
MANGO HILL,,Mango Hill;Mango Hill Care Suites;,,All Staff;Mango Hill Staff;
REDBANK PLAINS,,Redbank Plains & Eastern Heights;,,All Staff;Redbank Plains Staff;
SINNAMON PARK,,Sinnamon Park;,,All Staff;Sinnamon Park Staff;
WATERFORD WEST,,Waterford West;,,All Staff;Waterford Staff;
